date,cases,deaths
6/2/2020,1841990,106195
6/3/2020,1861977,107184
6/4/2020,1883593,108192
6/5/2020,1912302,109304
6/6/2020,1934818,110032
6/7/2020,1953434,110422
6/8/2020,1971641,111144
6/9/2020,1990446,112174
6/10/2020,2013298,113103
6/11/2020,2036500,113980
6/12/2020,2061993,114759
6/13/2020,2087327,115451
6/14/2020,2106457,115768
6/15/2020,2126574,116216
6/16/2020,2151459,116985
6/17/2020,2177114,117746
6/18/2020,2205173,118473
6/19/2020,2236009,119171
6/20/2020,2268034,119717
6/21/2020,2294413,119974
6/22/2020,2324879,120334
6/23/2020,2359939,121167
6/24/2020,2396928,121934
6/25/2020,2438101,124400
6/26/2020,2483629,125033
6/27/2020,2525928,125544
6/28/2020,2565436,125815
6/29/2020,2604932,126162
6/30/2020,2653321,127462
7/1/2020,2703296,128104
7/2/2020,2758855,128827
7/3/2020,2816009,129418
7/4/2020,2866015,129679
7/5/2020,2910782,129941
7/6/2020,2958098,130332
7/7/2020,3012182,131290
7/8/2020,3071637,132238
7/9/2020,3131526,133079
7/10/2020,3199753,133907
7/11/2020,3260474,134582
7/12/2020,3318279,134977
7/13/2020,3379846,135402
7/14/2020,3445448,136356
7/15/2020,3513790,137327
7/16/2020,3589477,138285
7/17/2020,3660400,139186
7/18/2020,3722851,139961
7/19/2020,3785126,140373
7/20/2020,3845014,140904
7/21/2020,3910291,142031
7/22/2020,3980030,143167
7/23/2020,4050036,144283
7/24/2020,4123561,145429
7/25/2020,4190337,146313
7/26/2020,4244554,146753
7/27/2020,4303735,148449
7/28/2020,4366851,149776
7/29/2020,4433633,151172
7/30/2020,4502581,152433
7/31/2020,4571669,153862
8/1/2020,4628497,154917
8/2/2020,4679291,155337
8/3/2020,4726775,155945
8/4/2020,4780324,157301
8/5/2020,4834047,158554
8/6/2020,4891561,159625
8/7/2020,4952718,160981
8/8/2020,5007958,161947
8/9/2020,5056438,162486
8/10/2020,5103611,163023
8/11/2020,5156968,164474
8/12/2020,5211246,165952
8/13/2020,5265307,167165
8/14/2020,5324784,168341
8/15/2020,5375527,169400
8/16/2020,5417664,169914
8/17/2020,5455187,170449
8/18/2020,5498420,171798
8/19/2020,5541433,173093
8/20/2020,5587462,174136
8/21/2020,5636491,175297
8/22/2020,5681517,176247
8/23/2020,5713850,176693
8/24/2020,5754254,177197
8/25/2020,5793437,178410
8/26/2020,5838756,179603
8/27/2020,5884366,180729
8/28/2020,5930930,181739
8/29/2020,5975540,182610
8/30/2020,6008970,182984
8/31/2020,6045455,183472
9/1/2020,6089504,184563
9/2/2020,6121948,185639
9/3/2020,6168342,186717
9/4/2020,6220446,187697
9/5/2020,6262700,188409
9/6/2020,6292699,188820
9/7/2020,6317865,189083
9/8/2020,6346806,189541
9/9/2020,6380138,190716
9/10/2020,6418198,191631
9/11/2020,6465766,192858
9/12/2020,6504870,193559
9/13/2020,6538213,193958
9/14/2020,6575100,194408
9/15/2020,6614317,195689
9/16/2020,6653585,196686
9/17/2020,6698895,197535
9/18/2020,6747782,198484
9/19/2020,6789593,199154
9/20/2020,6825949,199367
9/21/2020,6880899,199797
9/22/2020,6918290,200738
9/23/2020,6959841,201828
9/24/2020,7005043,202713
9/25/2020,7059624,203566
9/26/2020,7102321,204335
9/27/2020,7139619,204602
9/28/2020,7176979,204952
9/29/2020,7220676,205878
9/30/2020,7262734,206852
10/1/2020,7309152,207699
10/2/2020,7362732,208564
10/3/2020,7410511,209273
10/4/2020,7445574,209606
10/5/2020,7507986,210035
10/6/2020,7550848,210756
10/7/2020,7603865,211752
10/8/2020,7660248,212680
10/9/2020,7719210,213595
10/10/2020,7770858,214187
10/11/2020,7815641,214606
10/12/2020,7863657,214957
10/13/2020,7918051,215783
10/14/2020,7977904,216792
10/15/2020,8043257,217585
10/16/2020,8113720,218476
10/17/2020,8166481,219154
10/18/2020,8214363,219541
10/19/2020,8279803,220058
10/20/2020,8340397,220987
10/21/2020,8404634,222195
10/22/2020,8479762,223023
10/23/2020,8565059,223953
10/24/2020,8643640,224825
10/25/2020,8703355,225164
10/26/2020,8777986,225701
10/27/2020,8852373,226684
10/28/2020,8934258,227702
10/29/2020,9024915,228706
10/30/2020,9124783,229674
10/31/2020,9208993,230512
11/1/2020,9283188,230940
11/2/2020,9377201,231480
11/3/2020,9469617,232610
11/4/2020,9577697,234226
11/5/2020,9699030,235334
11/6/2020,9831853,236582
11/7/2020,9957785,237589
11/8/2020,10061201,238053
11/9/2020,10191642,238798
11/10/2020,10331392,240262
11/11/2020,10474277,241693
11/12/2020,10637917,242865
11/13/2020,10819414,244255
11/14/2020,10978447,245465
11/15/2020,11113634,246088
11/16/2020,11280194,246884
11/17/2020,11441833,248491
11/18/2020,11614116,250415
11/19/2020,11801631,252376
11/20/2020,12000512,254333
11/21/2020,12172457,255758
11/22/2020,12313295,256601
11/23/2020,12493028,257639
11/24/2020,12670931,259848
11/25/2020,12851603,262161
11/26/2020,12954496,263339
11/27/2020,13160382,264751
11/28/2020,13311528,265943
11/29/2020,13447900,266761
11/30/2020,13615739,268031
12/1/2020,13799999,270639
12/2/2020,14001210,273525
12/3/2020,14218973,276381
12/4/2020,14450360,279018
12/5/2020,14656033,281208
12/6/2020,14828141,282319
12/7/2020,15032433,283853
12/8/2020,15252314,286674
12/9/2020,15472050,289830
12/10/2020,15697271,292771
12/11/2020,15977838,295726
12/12/2020,16185267,297981
12/13/2020,16369491,299338
12/14/2020,16570615,301016
12/15/2020,16773586,304041
12/16/2020,17018628,307652
12/17/2020,17257055,310950
12/18/2020,17508278,313820
12/19/2020,17702197,316381
12/20/2020,17882143,317810
12/21/2020,18083756,319773
12/22/2020,18285416,323012
12/23/2020,18513204,326424
12/24/2020,18706752,329248
12/25/2020,18807725,330377
12/26/2020,19024581,332023
12/27/2020,19176674,333253
12/28/2020,19365727,335152
12/29/2020,19566819,338780
12/30/2020,19795855,342588
12/31/2020,20026877,346050
1/1/2021,20174150,347970
1/2/2021,20465532,350343
1/3/2021,20667499,351694
1/4/2021,20919448,353743
1/5/2021,21154475,357432
1/6/2021,21410474,361396
1/7/2021,21690778,365507
1/8/2021,21991447,369402
1/9/2021,22243548,372663
1/10/2021,22451857,374440
1/11/2021,22678224,376488
1/12/2021,22908054,380894
1/13/2021,23137600,384824
1/14/2021,23377131,388804
1/15/2021,23617021,392553
1/16/2021,23819222,395894
1/17/2021,23989326,397624
1/18/2021,24130513,399065
1/19/2021,24317479,401836
1/20/2021,24502986,406216
1/21/2021,24693517,410351
1/22/2021,24885123,414082
1/23/2021,25052948,417404
1/24/2021,25182725,419219
1/25/2021,25339336,421126
1/26/2021,25490001,425223
1/27/2021,25645813,429326
1/28/2021,25811819,433194
1/29/2021,25976660,436794
1/30/2021,26110464,439435
1/31/2021,26224290,441299
2/1/2021,26366205,443249
2/2/2021,26481459,446860
2/3/2021,26601699,450703
2/4/2021,26727367,455820
2/5/2021,26856938,459390
2/6/2021,26961893,462052
2/7/2021,27049175,463353
2/8/2021,27142241,464936
2/9/2021,27238636,468106
2/10/2021,27333631,471360
2/11/2021,27439317,475238
2/12/2021,27538967,480701
2/13/2021,27623657,484073
2/14/2021,27687452,485154
2/15/2021,27742725,486148
2/16/2021,27807302,487855
2/17/2021,27877512,490326
2/18/2021,27949342,492951
2/19/2021,28027410,495572
2/20/2021,28097154,497403
2/21/2021,28152351,498650
2/22/2021,28211846,500104
2/23/2021,28283767,502432
2/24/2021,28358010,505642
2/25/2021,28435912,508107
2/26/2021,28514265,510283
2/27/2021,28576966,511850
2/28/2021,28627891,512979
3/1/2021,28684637,514404
3/2/2021,28742352,515710
3/3/2021,28809028,518079
3/4/2021,28876385,520028
3/5/2021,28942110,522511
3/6/2021,28998696,523970
3/7/2021,29038825,524646
3/8/2021,29133390,525466
3/9/2021,29189311,527351
3/10/2021,29247547,528825
3/11/2021,29309968,530349
3/12/2021,29374180,532054
3/13/2021,29423760,533927
3/14/2021,29461766,534496
3/15/2021,29518977,535245
3/16/2021,29573562,536490
3/17/2021,29632518,537667
3/18/2021,29693027,539225
3/19/2021,29753699,540739
3/20/2021,29808119,541511
3/21/2021,29842336,541959
3/22/2021,29897110,542607
3/23/2021,29953916,543500
3/24/2021,30033774,545090
3/25/2021,30103017,546360
3/26/2021,30177578,547620
3/27/2021,30238270,548400
3/28/2021,30282796,548890
3/29/2021,30353673,549575
3/30/2021,30415987,550522
3/31/2021,30483974,551657
4/1/2021,30561204,552614
4/2/2021,30629781,553570
4/3/2021,30693859,554323
4/4/2021,30730694,554595
4/5/2021,30807425,555125
4/6/2021,30869414,556034
4/7/2021,30942494,558605
4/8/2021,31023033,559607
4/9/2021,31104619,560553
4/10/2021,31169336,561257
4/11/2021,31217367,561558
4/12/2021,31289383,562023
4/13/2021,31366753,563006
4/14/2021,31442522,563941
4/15/2021,31516232,564858
4/16/2021,31594605,565793
4/17/2021,31648336,566470
4/18/2021,31689901,566828
4/19/2021,31760254,567313
4/20/2021,31821176,568148
4/21/2021,31883801,568985
4/22/2021,31950020,569896
4/23/2021,32013772,570769
4/24/2021,32064114,571494
4/25/2021,32097776,571776
4/26/2021,32145239,572255
4/27/2021,32197059,572968
4/28/2021,32251837,573902
4/29/2021,32309789,574776
4/30/2021,32368014,575636
5/1/2021,32412679,576351
5/2/2021,32442352,576663
5/3/2021,32492335,577122
5/4/2021,32533300,578029
5/5/2021,32578128,578805
5/6/2021,32625762,579637
5/7/2021,32673272,580449
5/8/2021,32707016,581056
5/9/2021,32729405,581302
5/10/2021,32765856,581669
5/11/2021,32799909,582362
5/12/2021,32835425,583210
5/13/2021,32873934,583990
5/14/2021,32914973,584722
5/15/2021,32943973,585281
5/16/2021,32960710,585573
5/17/2021,32989976,585957
5/18/2021,33017873,586824
5/19/2021,33046763,587499
5/20/2021,33076464,588153
5/21/2021,33105778,588850
5/22/2021,33123794,589328
5/23/2021,33137938,589517
